model,temperature,maxout,hallucination_rate,connected_graph,max_path,log_likelihood
gemini-1.5-flash-001,0,512,0.2464699091,TRUE,5,-525301.7293
gemini-1.5-flash-001,0,1024,0.2904118397,TRUE,4,-525339.9416
gemini-1.5-flash-001,0,1536,0.3140219879,TRUE,4,-525306.3755
gemini-1.5-flash-001,0,2048,0.324701316,TRUE,4,-525297.0492
gemini-1.5-flash-001,0.3,512,0.2404401562,FALSE,5,-525209.772
gemini-1.5-flash-001,0.3,1024,0.2747080984,TRUE,4,-525209.1606
gemini-1.5-flash-001,0.3,1536,0.2938251225,TRUE,4,-525272.1512
gemini-1.5-flash-001,0.3,2048,0.303731255,TRUE,4,-525273.3106
gemini-1.5-flash-001,0.7,512,0.2145548783,TRUE,5,-525407.4201
gemini-1.5-flash-001,0.7,1024,0.232056003,TRUE,5,-525229.6075
gemini-1.5-flash-001,0.7,1536,0.2411202591,TRUE,5,-525256.3511
gemini-1.5-flash-001,0.7,2048,0.2446014157,TRUE,4,-525262.1127
gemini-1.5-flash-001,1,512,0.204656006,TRUE,5,-525242.4342
gemini-1.5-flash-001,1,1024,0.207662423,TRUE,5,-525214.9277
gemini-1.5-flash-001,1,1536,0.2136819835,TRUE,5,-525325.2508
gemini-1.5-flash-001,1,2048,0.2133782336,TRUE,5,-525257.5741
gemini-1.5-pro-001,0,512,0.06455742502,FALSE,9,-525471.758
gemini-1.5-pro-001,0,1024,0.06020254014,FALSE,8,-525443.281
gemini-1.5-pro-001,0,1536,0.06359732565,FALSE,8,-525507.9371
gemini-1.5-pro-001,0,2048,0.06136555509,FALSE,9,-525461.6346
gemini-1.5-pro-001,0.3,512,0.06198701458,FALSE,9,-525431.1208
gemini-1.5-pro-001,0.3,1024,0.06237424547,FALSE,10,-525477.3222
gemini-1.5-pro-001,0.3,1536,0.06200265252,FALSE,9,-525472.2302
gemini-1.5-pro-001,0.3,2048,0.06157057135,FALSE,9,-525466.5964
gemini-1.5-pro-001,0.7,512,0.0615120696,FALSE,9,-525449.9042
gemini-1.5-pro-001,0.7,1024,0.06410031054,FALSE,9,-525459.9003
gemini-1.5-pro-001,0.7,1536,0.06245898053,FALSE,10,-525429.7777
gemini-1.5-pro-001,0.7,2048,0.05975422427,FALSE,8,-525439.2397
gemini-1.5-pro-001,1,512,0.06417145328,FALSE,10,-525470.08
gemini-1.5-pro-001,1,1024,0.06286372803,FALSE,9,-525451.7032
gemini-1.5-pro-001,1,1536,0.06196346027,FALSE,8,-525479.5256
gemini-1.5-pro-001,1,2048,0.06138799292,FALSE,8,-525455.5525
