,model,temperature,maxout,hallucination_rate,connected_graph,max_path,log_likelihood
0,gemini-1.5-flash-001,0.0,512,0.24646990912051153,True,5.0,-525301.7292515663
1,gemini-1.5-flash-001,0.0,1024,0.29041183967300827,True,4.0,-525339.9415750038
2,gemini-1.5-flash-001,0.0,1536,0.31402198791790176,True,4.0,-525306.375486332
3,gemini-1.5-flash-001,0.0,2048,0.3247013160288677,True,4.0,-525297.0492278049
4,gemini-1.5-flash-001,0.3,512,0.24044015618445255,False,5.0,-525209.7720478796
5,gemini-1.5-flash-001,0.3,1024,0.27470809843161353,True,4.0,-525209.1606495935
6,gemini-1.5-flash-001,0.3,1536,0.2938251225174104,True,4.0,-525272.1511755697
7,gemini-1.5-flash-001,0.3,2048,0.3037312550107114,True,4.0,-525273.3106341651
8,gemini-1.5-flash-001,0.7,512,0.214554878290648,True,5.0,-525407.4201148134
9,gemini-1.5-flash-001,0.7,1024,0.23205600299312762,True,5.0,-525229.6074697855
10,gemini-1.5-flash-001,0.7,1536,0.24112025912139531,True,5.0,-525256.3511029286
11,gemini-1.5-flash-001,0.7,2048,0.24460141572832353,True,4.0,-525262.1127315452
12,gemini-1.5-flash-001,1.0,512,0.20465600595016734,True,5.0,-525242.434187118
13,gemini-1.5-flash-001,1.0,1024,0.20766242304703844,True,5.0,-525214.9277173425
14,gemini-1.5-flash-001,1.0,1536,0.2136819835124178,True,5.0,-525325.2508001565
15,gemini-1.5-flash-001,1.0,2048,0.2133782335833461,True,5.0,-525257.5741051119
